;левове;левове;левове;левове;левове;левове;левове;левове;левове;левове;левове;левове;
;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;
;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;ОБЩО;
Видин;4799;5251;5422;5532;5855;6195;6663;7011;7522;8233;9103;10302;
Враца;6631;7696;8509;8657;9231;9383;9861;10332;10988;11460;12489;13874;
Ловеч;5146;5715;5936;6184;6509;6940;7487;8033;8604;9474;10317;11365;
Монтана;5137;5641;6028;6289;6572;6995;7449;7971;8624;9297;10129;11165;
Плевен;5268;5890;6093;6308;6646;7046;7400;7892;8630;9401;10461;11567;
Велико Търново;5144;5765;6119;6488;6742;7262;7662;8213;8934;9665;10529;11619;
Габрово;5641;6112;6591;6827;7399;7912;8283;8826;9498;10522;11796;12895;
Разград;5172;5721;6071;6488;7065;7533;8351;8702;9694;10453;11569;12814;
Русе;5465;6112;6354;6783;7155;7589;8028;8563;9287;10243;11185;12329;
Силистра;4915;5349;5771;6059;6390;6880;7215;7494;7967;8672;9434;10572;
Варна;6448;7159;7533;8144;8562;8922;9272;10000;10773;11700;13008;14282;
Добрич;5353;5772;6130;6394;6738;7164;7581;8084;8705;9539;10429;11440;
Търговище;4909;5389;5620;5913;6556;7195;7465;7902;8963;9754;10833;12035;
Шумен;5357;5803;6214;6499;7068;7405;7968;8505;9026;9994;11028;12124;
Бургас;6117;6830;7092;7359;7788;8212;8834;9102;9540;10276;11225;12301;
Сливен;4966;5649;6000;6191;6589;6999;7265;7830;8438;9113;10005;11085;
Стара Загора;6547;7602;8080;8512;9117;9414;10035;10667;11250;12248;13190;13914;
Ямбол;5045;5701;6034;6343;6679;7111;7472;8053;8625;9530;10815;12048;
Благоевград;4819;5423;5683;5990;6271;6566;6818;7181;7658;8297;9024;9810;
Кюстендил;4924;5454;5891;6219;6444;6880;7091;7486;7942;8642;9476;10576;
Перник;5511;5710;5890;6080;6392;6719;7063;7514;8449;9321;10321;11434;
София;6302;7026;7749;8360;8926;9252;9766;10507;11230;12149;13425;14586;
София (столица);9054;9913;10547;11249;12059;12851;13542;14531;15658;17199;19026;21040;
Кърджали;4988;5465;5643;5895;6266;6842;7222;7648;8335;9285;10419;11356;
Пазарджик;5324;5620;6087;6368;6862;7264;7650;8006;8721;9468;10513;11675;
Пловдив;5390;6054;6462;6889;7418;7922;8504;9084;9911;10771;11780;12996;
Смолян;5259;5867;6134;6122;6516;6800;7253;7679;8504;9133;10145;11106;
Хасково;4922;5443;5638;5999;6267;6581;6947;7422;7964;8537;9623;10566;
